Immagine;Didascalia;Denominazione;Localita;Indirizzo;Civico;Comune;Telefono;Email;SitoWeb;Categoria;Categoria Secondaria;Latitudine;Longitudine;orario;noteorario;Ingresso
;;1896 - Museo della Farmacia Mazzolini Giuseppucci;;Corso della Repubblica;33/a;FABRIANO;0732.627081 /0732.629859;info@1896.it;;Specializzato;Arte;43.3364;12.9044;dal marted� al sabato ore 10.00-13.00/16.30-20.00;riaperto secondo gli orari sopra descritti dal 12/12/2009;
;;Accademia Georgica;;Piazza della Repubblica;6;TREIA;0733.215056;accademiageorgica@libero.it;www.accademiageorgica.it;Storia;;43.3112;13.3126;aperto 10-13 marted�, 10-13 e 15-18 gioved�, 10-13 sabato - chiuso altri giorni;;Ingresso gratuito
;;Antica Stamperia Fabiani;;Vicolo del Forno;3;PETRITOLI;0734.658213;stampatore8151@alice.it;http://www.anticastamperiafabiani.it;Specializzato;;43.0678;13.6556;Tutti i giorni: 9-13, 14-19;;
;;"Antiquarium Comunale ""N. Pansoni""";chiesa Annunziata -;Via Verdi;SNC;COSSIGNANO;0735/98130;anagrafe.cossignano@libero.it;http://www.comune.cossignano.ap.it;Archeologia;;42.984;13.6882;MUSEO CHIUSO;MUSEO CHIUSO;
;;Antiquarium Pitinum Mergens;;Corso Roma;47;ACQUALAGNA;0721.79671, 0721.799040 (biblioteca);comune.acqualagna@provincia.ps.it;http://www.comune.acqualagna.ps.it;Archeologia;;43.6166;12.6722;"Ottobre-maggio: marted�-sabato: 9-14; giugno- settembre: 14-19";Nel periodo delle 3 fiere del tartufo, il museo rimane aperto anche nei festivi con orario 9-19;ingresso gratuito
;;Antiquarium Suasanum;Abbazia di San Lorenzo;Via San Demetrio;;SAN LORENZO IN CAMPO;0721.776825;;;Archeologia;Arte;43.6055;12.945;aperto su richiesta. Chiuso la Domenica;;ingresso gratuito
;;"Area archeologica e Museo ""La Fenice""";;Viale Leopardi;;SENIGALLIA;071.6629348;beni.culturali@comune.senigallia.an.it;http://www.comune.senigallia.an.it;Archeologia;Territoriale;43.7124;13.2185;Dal 1 gennaio al 15 giugno e dal 16 settembre al 31 dicembre: sabato domenica e festivi 16.30-19.30. Dal 16 giugno al 15 settembre: tutti i giorni 21.30-23.30.;Nei mesi invernali l'apertura infrasettimanale � su prenotazione.;
;;"Aula didattica multimediale ?Casa della memoria""";Ex Stazione Ferroviaria;Via E. Fermi;16;SERVIGLIANO;0734/750583;"info@casadellamemoria.org; comune@pec.comune.servigliano.fm.it";"www.casadellamemoria.org; www.comune.servigliano.fm.it";Storia;;43.0804;13.4924;"Luglio-agosto: dal luned� al venerd� 9-14; sabato 15-20. Negli altri mesi: dal luned� al venerd� dalle 9 alle 14 (pomeriggio su prenotazione), sabato dalle 15 alle 20 (mattino su prenotazione), domenica a richiesta e aperture straordinarie comunicate sul";;
;;Cartoteca Storica delle Marche;Ex Convento di Santa Lucia;Via Marcellini;snc;SERRA SAN QUIRICO;800439392;sistemamuseale@provincia.ancona.it;http://www.musan.it;Territoriale;;43.4478;13.014;MUSEO CHIUSO;MUSEO CHIUSO;"prezzo intero: 2 ?; prezzo ridotto: 1,5 ?"
;;Casa Museo Biagetti - Cintoli;;Via Falleroni;83;RECANATI;071.7570410;;www.recanatiturismo.it;Specializzato;;43.4064;13.5452;Visita solo su prenotazione;;Ingresso a pagamento
;;Casa Museo Palazzetto Baviera;;Piazza del Duca;1;SENIGALLIA;071.6629348;beni.culturali@comune.senigallia.an.it;http://www.senigallia.org;Arte;Storia;43.715;13.2196;MUSEO CHIUSO Il museo � attualmente in fase di ristrutturazione e di adeguamento;MUSEO CHIUSOIl museo � attualmente in fase di ristrutturazione e di adeguamento;
